id,username,password,bookstores
519859,admin,-8431602076339693759,"['Excellent Playscript Designs', 'The Forthcoming', 'The Influential Volume International', 'Commonplace&Company', 'Selling Playscript Works']"
700089,ermina,-5912085202549854113,"['Eighth Ledger Designs', 'Valuable Ledger Collective', 'The Blue Playscript Group', 'Big Leger Trading Co', 'Comprehensive Hold & Company', 'Comic Book Of Account Chronicles', 'BoundPlayscript', 'Latest Playscript Group']"
142088,unsuccess,-3647380951200692877,"['The Interesting Reserve Group', 'ThickScript', 'Sacred Volume Works', 'AdmirableScript', 'ExcellentAccountBook', 'The Scrap Book Of Account Place', 'Earlier Record', 'ClassicPro', 'NoteHold', 'FifthRecord', 'The Interesting Leger Collective', 'Delightful Leger']"
249019,penile,-5087707298543447716,"['Daybook Place', 'The Last Hold International', 'Seventh Book Of Account International', 'Comic Book Of Account Chronicles', 'Best Playscript Place', 'ThisCo', 'New Hold Group', 'Comprehensive Record Pro', 'Valuable Account Book Pro', 'TextRecord', 'Last', 'Known Reserve Works', 'Popular Daybook Trading Co', 'ComicSpot', 'ExcellentScript']"
889665,dodona,-6477097444481926354,"['Comic Record Place', 'Big Reserve Chronicles', 'The Latest Daybook Works', 'The Bound Record Collective', 'MinuteHold', 'SacredPlace', 'Valuable Volume Chronicles', 'Note Leger', 'The Best Book Of Account Co', 'Fascinating Record Group', 'Third Account Book Collective', 'The Closed Account Book Group', 'Admirable Script', 'SealedLeger', 'Text Ledger Collective']"
817301,praefect,-7242378603268037239,"['ClosedReserve', 'Sacred Record', 'The Rare Leger Collective', 'ExcellentScript', 'Fifth Volume Co', 'Excellent Book Of Account Spot', 'Open Hold', 'The Remarkable Volume International', 'Fourth Account Book Co', 'The Best Script Designs']"
666110,fushih,8448134647489620485,"['Book Of Account Designs', 'Bookstorebes', 'Professional Reader', 'The Beautiful', 'The Holy Book Of Account & Company', 'The Influential Volume International', 'The Comprehensive Book Of Account Place', 'Valuable Book Of Account Trading Co', 'Charming Volume', 'The Remarkable Volume International', 'Famous Hold Group', 'Booknetic']"
656031,yulan,-3724893282459437236,"['Hymn Volume Collective', 'The Sealed Hold Co', 'The Note Leger Group', 'The Forthcoming']"
999300,shishko,-8843602904839541279,"['Year Ledger Collective', 'Ledger Group', 'Present Account Book', 'The Best Ledger Spot', 'Thick Script', 'The Classic Record Spot', 'Big Playscript International']"
120189,lohse,-3333535948688092595,"['SixthRecord', 'Stripped Account Book', 'FavoriteCollective', 'The Known', 'Present&Company', 'The Useful Script Collective', 'FourthGroup', 'The Closed Book Of Account Works', 'The Beautiful Book Of Account Works', 'LatestLeger', 'The Sixth Leger & Company', 'The Hand Playscript & Company']"
