id,username,password,bookstores
565983,admin,-8431602076339693759,"['Seventh Reserve Pro', 'Text Hold', 'Hymn Daybook Spot', 'KnownDaybook', 'FamousRecord', 'Scrap Reserve', 'Best Ledger', 'Holy Account Book', 'Eighth Reserve Spot', 'Booknetic', 'Holy Account Book Chronicles', 'The Selling Hold Co']"
158337,instinctive,6247494070799862716,"['Thick Ledger Collective', 'PopularAccountBook', 'ReadableLedger', 'Readable Book Of Account International', 'ExcellentInternational', 'Influential Leger Trading Co', 'Admirable Script', 'Second Account Book', 'Stripped Playscript Collective', 'Rammelsberg & Rumsey', 'BluePlace', 'Steinberg Advisors Ltd', 'Script Pro']"
825465,rosalvarosalyn,2853631198197649689,"['Closed Playscript Group', 'Holy Account Book', 'Comprehensive Reserve', 'Open Script Works']"
963152,pathology,390794781599576745,"['BlueRecord', 'RareVolume', 'The Bound Ledger Collective', 'Gifford & Hillegass & Ingwersen LLP', 'Last Ledger Place', 'SacredBookOfAccount', 'The First Leger Place', 'The Day Volume Co', 'Holy Script', 'The Last Record Place', 'The Latest Daybook Works', 'Blue Ledger Co', 'Globe Book']"
621723,evelyn,3862887815877364398,['Bowers & Narasky & Daley & CPAs']
642303,quintie,6496306367758524625,"['Selling Leger Chronicles', 'Earlier Book Of Account', 'Big Volume', 'Valuable Volume', 'Open Playscript Spot', 'FourthLedger', 'The Recent']"
161427,gathard,3059358435053822192,"['Comprehensive Record Pro', 'Lincoln Library', 'Record Pro', 'Leger & Company', 'Leger Pro', 'Big Book Of Account Spot', 'Readable Playscript', 'Hand Account Book Collective', 'Useful Book Of Account Designs']"
556966,corot,-8087214044747427494,"['Year Book Of Account Designs', 'NoteCo', 'The Useful', 'Reserve Works', 'New Account Book International', 'Text Script & Company', 'Scrap Account Book', 'The Printed Script International', 'Fourth Script Designs', 'Volume Place', 'High Bridge Library']"
602377,caboose,-2709346999511667300,"['Seventh Playscript Place', 'Holy Book Of Account Works', 'Tec Books', 'Sacred Volume Designs', 'Fifth&Company', 'The Scrap Book Of Account Spot', 'Famous Account Book Place', 'The Scrap Volume Works']"
736980,psychology,9093946077258148608,"['Fifth Account Book Spot', 'CommonplaceDaybook', 'The Sacred', 'CommonplaceCo', 'Ledger Collective', 'This Playscript Collective', 'FirstChronicles', 'Beautiful Volume Chronicles', 'The Selling', 'Daybook Trading Co']"
