id,username,password,address,city,orders,favorites,balance
88253815,user,-8431602076339693759,506 State Road,North Dartmouth,"['0340371900', '0394580486', '0373030983', '0811805530', '0880015861', '0553096605', '0373286953', '0373254539', '0380815699', '0812521145', '1591162203', '0140431705', '0446351601', '207042796X', '0789477858', '084990918X', '0395522463', '0465036759', '1891620754', '048642362X', '0671319558', '0738808245', '0399147357', '0968125832', '0439312930', '1578564980', '0373245289', '0373256299', '0872390365', '0517536064', '0192141945', '0590266004', '2266118994', '0131038052', '0618219021', '1591820014']",[],71.9
29405094,amanita,-7372621066693489854,1470 S Washington St,North Attleboro,"['0192545159', '1857037669', '8489784752', '067943545X', '0312965664', '0877014213', '039731454X', '0816741948', '089840150X', '0553565451', '0515132810']","['0395838088', '0385425813', '0553296167', '0684852624', '0747247196']",69.9
14732438,unequivocal,5783943564666073787,311 RT 9W,Glenmont,"['0373484518', '0553296167', '555600000X', '0072119179', '0465076157', '1860197752', '0440403081', '0590396358', '0785276122', '0297836404', '0875951880', '0394838041', '1587882337', '0385316550', '1586481304', '0816738637', '0307020231', '1568304331', '0896084574', '082451646X', '1853260886', '3405160812', '0399145702']",['075700038X'],55.7
32223365,octarchy,-1146617573308647582,4206 N College Ave,Jackson,"['0316988960', '3505108693', '0960538860', '0345374088', '158567169X', '0684843102', '0140380000', '0399136665', '3882438002', '0465076157', '0316690619']","['0806968028', '2080704001', '0446603414', '037302567X', '0385502737', '0747247196']",119.9
86930480,undue,7363089955984559982,2055 Niagara Falls Blvd,Amherst,"['0671020579', '1563841134', '0553296167', '0743406397', '0375413944', '2080704001', '2290309338', '0871315408', '0435123289', '0425076776', '2879290937', '0960538860', '0671434675', '071561472X']","['0441873626', '0316122203', '0786708123']",81.2
91426545,ezaria,-4770051349300067812,1011 US Hwy 72 East,Athens,"['0890439702', '3426666456', '8055103291', '0553374753']","['0571215157', '4770028601', '0965699862', '0006375340', '0805075615', '1852278692', '0964967804']",80.4
75900084,wheelman,-4785499287474059232,1916 Center Point Rd,Center Point,"['0425180689', '0679803211', '0449201538', '0714525995', '3404149173', '055328357X', '0451137116', '0064462390', '0553275496', '0192545159', '1571312374', '0552083895', '1582343764', '0525650687', '0816505837', '2858151555', '0525941509', '0140380000', '0743462335', '0888625456', '207042796X']","['1588981770', '2855655544', '0962619701', '0396086926', '0399144056', '1901250245']",116.6
37396058,kentiga,-915915704668206535,750 Academy Drive,Bessemer,"['0373264852', '8420610445', '0195012704', '0440404517', '0840791798', '0747543674', '0708842186', '0312979061', '0312179499', '0316122203', '0385293941', '0821774727', '0373250428', '0811200124', '0517027488', '0684809001', '0072119179', '0425180689', '1862042209', '0671020579', '2211041221', '0452264790', '0451207998', '0394467809']","['1582343764', '8401376513', '0345368762', '0553252917', '0451198212', '3423121319', '0805070605']",115.8
81393554,peper,-2072683251941765825,255 W Main St,Avon,"['0394513061', '0060280603', '0345368762', '0394840933', '0553275496', '039731454X', '1878887343', '015696256X', '0333906306', '037305257X', '2253053546', '0688039626', '0380788144']","['1580050360', '0553478346', '087065179X', '0553156632', '0802703909', '0192801724']",91.3
82842815,wellfavored,-4169301545678821928,1537 Hwy 231 South,Ozark,"['0441873626', '0517881349', '1588981770', '0399144056', '1853262269', '0375430784', '0553209434', '8425328055', '0140255842', '0399139540', '3257230982', '0394580486', '0312322836', '0061070173', '055356255X', '207042796X', '0553373781', '3518102192', '0028277775', '0440416655', '0963167324', '1850437351', '3518405217']","['0131465155', '0439141001', '0553579584', '0520080319', '0789709252', '2266118994', '0516016105']",144.1
47853618,phosphocreatine,1099361896251434668,340 East Meighan Blvd,Gadsden,"['2070393569', '0671642219', '0394580486', '0515104191', '0671707434', '0061099155', '0525941509', '0312907699', '0743449207']","['0740721984', '0938510886', '0671737724', '1564135071', '0688039626', '0446607347', '1400030803']",59.5
68231195,fredericfrederica,7825077325884414271,139 Merchant Place,Cobleskill,"['0890439702', '0020136900', '3404129067', '0973255005', '1583143440', '8484034119', '0553567683', '0192801724', '0671886142', '0934986517', '0786864133', '0887330630', '0515132268', '0789722402', '084990918X', '0451405137']","['0440432952', '0451137116']",90.2
91645763,vanitavanity,5389358460159783986,24833 Johnt Reidprkw,Scottsboro,"['082451646X', '0192141945', '0064406601', '0345300815', '0767913019', '0441003117', '0802730213', '2070378551', '0385244835', '3518102192', '0761507280', '2020482363', '0440404517', '0373871864', '0806970707', '0307020231', '0312872305', '0312979061', '8432055999']","['0801980135', '0679734058', '0830713255', '0811805530', '0385293941', '2253045039']",149.8
81047481,barone,-5847281529917483756,3801 Eastern Blvd,Montgomery,"['0452273803', '0072119179', '0812566750', '0761504524', '0330297066', '0295972254', '0684809001', '0947533125', '0440235715', '0887330630', '0316540234', '0792441915', '0970038704', '8437606608', '0843930217', '0595220452', '0825300460', '0821774816', '8120807731', '1564588890', '3492200540', '067155834X', '0452264790', '1557232520', '2858151555', '0373220243', '0465076157', '0060392177', '1556619472', '2070378551', '0840758804', '0446672157', '1550139339', '0446351601', '0451458869', '0316861871']","['0207169616', '0938510886', '1901250245', '8484370046', '0747247196', '1854796283']",117.6
65296911,amphibiotic,-8865895557679622782,1600 Montclair Rd,Birmingham,"['0515104191', '0451182766', '0903505312', '0312179499', '0671516752', '0553374753', '0671886142', '0787118559', '0380755726', '0425180689', '8420610445', '0002219697', '0373871864', '0801650879', '8434812231', '0352336188', '8408020374', '0871315408', '067943545X', '0848705254', '055356255X', '0785276122', '0020136900', '3596118239']","['2867441382', '0821734725', '4770028601', '0553209434', '0061003824', '0823406520']",125.7
94245512,contredanse,-7341912708707508970,6140A Univ Drive,Huntsville,"['0471581453', '0888948204', '0702215198', '0070527091', '0060804874']","['1562824201', '1582343764', '0375703861', '1575662981']",121.0
43551877,varien,7797332155244921286,3501 20th Av,Valley,"['8449409217', '1585360775', '1854796283', '0801980135', '0385304366', '0595188273', '0812559568', '555600000X', '0440235286', '0385195710', '0345445724', '0060916834']","['0091018501', '1575440369', '0345345045', '0688163440', '0060414715', '0689841361', '091621141X', '0960394621']",77.2
50630682,hallah,-8755351435168272388,100 Charlton Road,Sturbridge,"['0671570552', '1593553196', '9879201116', '2207303322', '1582343764', '0393050041', '0060922265', '0486260992', '1570426201', '8484370046', '0787102296', '345312698X', '0671665537', '0195012704', '0781405262', '0670860859', '0965413659', '2070393569', '0782124690', '0878795383', '0061094560', '0330270982', '1858813964', '0373252528', '0345426118', '083480252X', '0590266004', '1930586167', '0140377425', '0312195621', '0425169685', '0877014213', '0517100118', '0836215249', '0684843102']",['0312288549'],139.9
42676856,xiphisternum,7925849382199110086,1201 Hwy 31 NW,Hartselle,"['0446353485', '089840150X', '0375431020', '0681418745', '0448417049', '0312950837', '156504018X', '3423121319', '1587670585', '087065179X', '1853463949', '019553123X', '0028277775', '0330241486', '0452262038', '0061001651', '0517573849', '0812550862', '0525650687', '0841617805', '0877013489', '0671318586', '0964967804', '0375725806', '0316734780', '0140105247', '0310231612', '3570209075', '0373287283', '0451458869', '0973255005', '0201096676']",['091621141X'],100.2
42677938,jarrett,9168082133199518403,34301 Hwy 43,Thomasville,"['0525939865', '0441545424', '1885171013', '0515104191', '0871567458', '1858813964', '0385420242', '0553296167', '0505523949', '067169524X', '0373702000', '0385304366', '0743462335', '0671466801', '0440416655', '0140564551', '325720227X', '1564582973', '1857037669', '0903505312', '0345352440', '0688064256', '0446353485', '0671665537', '0688140963', '037324424X', '2020309629', '207042796X', '1573245704', '345312698X', '0740721984']","['0375430784', '0192545159', '0060219106', '0971663815']",72.8
49255451,impacted,-7912732407384762591,161 Centereach Mall,Centereach,"['0872390365', '0425175979', '0385318979', '0689713452', '0802730213', '037305257X', '0446601578', '0312963971', '0684854279', '0140585354', '0890838518', '1571312374', '087065179X', '0440237424', '0840791798', '0590303244', '158062619X', '0886779553', '089840150X', '0801650879', '0684852071', '8484370046', '0764223852', '0140196269', '0681418745', '1551668947', '9839981900', '0811816583', '1560231068', '1561675679']","['1843336235', '0671795325', '0525941509', '5553675456', '1929590059']",125.0
38304190,fannie,-4225960953075583930,1007 Red Farmer Drive,Hueytown,"['3423129662', '0373201036', '0345368762']","['0671795325', '0060926945', '0913299154', '0345435397', '0571088392', '0316988960']",99.3
59144279,cutler,-8863828191379624851,13675 Hwy 43,Russellville,"['0821734725', '0671887343', '0806968028', '0848705254', '0451198212', '0785276122', '1576731030', '0373106262', '3505108693', '075151666X', '0688103995', '019507260X', '0374229430', '0394809831', '0140304770', '0446601578', '0425092828', '0373245289', '0590476092']","['0553254138', '0395271029', '1555832660', '0394878655', '3442723809']",81.1
42909323,abaddon,-8115738980944008422,5710 Mcfarland Blvd,Northport,"['0825300460', '0671737724', '0811816583', '0671466801', '0451160959', '0816505837', '0140564551', '0505521598', '1556344473', '1550139339', '0743424107', '082300239X', '3499127326', '0486260992', '0380810255', '0738808245', '0515125652', '0553254138']","['1562824201', '0380783002', '0889821488', '0802703909']",119.9
74173699,tasia,-1401802392115443755,506 State Road,North Dartmouth,"['0345349407', '1558680764', '0878577475', '0529053241', '0688163440', '0590623842', '1584855207', '0440237424', '0061001651', '0140028978', '1551665867', '0446679550', '0385304366', '0451523776', '1931561028', '019507260X', '0441005969', '0486215318', '0207169616', '0877013489', '0440166675', '0688103995', '0002261804', '0586214895']","['189441330X', '1588981770', '1581121717', '0373052820', '0373250428', '0373106262', '0451405137']",146.6
49802582,dialecticism,-1614070942905884219,474 Boston Post Road,North Windham,"['0842334165', '0802703909', '0684838419', '0380700301', '0689841744', '0441873626', '2264028963', '0304349267', '8055103291', '067972544X', '0971718016', '0876808836', '0671795325', '0821737708', '0312280556', '0671737724', '0505523949', '1857037669']","['1569315078', '0375431020']",106.5
39321106,lingonberry,-57319790442128256,1717 South College Street,Auburn,"['0819309052', '0373520859', '0888625456', '0961895411', '155583163X', '0881339512', '0060923156', '0446678589', '0439141001', '0446353485', '345317805X', '2070543587', '0671519816', '0091294800', '0373027443', '0971718016']","['0415057701', '0812817974', '0743406397', '0965453561', '0771014872']",110.7
31825456,epicontinental,-27074136467423493,120 Commercial Parkway,Branford,"['1853262269', '0373484518']",['0373702000'],72.3
21235973,marlie,-7484172554020715883,100 Elm Ridge Center Dr,Greece,"['0609801457', '0425173615', '037324424X']","['0060926945', '0452264790', '2207252817']",101.0
32129240,bickerstaff,-276989541548560493,139 Merchant Place,Cobleskill,"['1843336235', '0743424107', '0792441915', '1591290902', '0609801457', '0781405262', '0821772163', '0091633001', '0451625145', '0688160964', '0897331249', '0375725520', '2070383652', '0445408286', '3442092639', '0553217984', '0892965320', '0689841361', '0689713452', '0140097732', '0399135731']","['0385473796', '156504018X', '0060916834', '0449908798', '1585670472', '0914294083']",119.7
92695498,infusive,-3413442742357385319,2453 2Nd Avenue East,Oneonta,"['1863303790', '1878887343', '0486260992', '014027880X', '0394588207', '0688103995', '0140367470', '0345334957', '0373027443', '0452277930', '0671434675', '0816513619', '2070378551', '0395623650', '0553241354', '1578564980', '8408020374', '1853260878', '0440432952', '0823406520', '0394558480', '1550390678', '0552083895', '1568659350', '1581121717', '0345252985', '0307592618', '0688130305']","['0802114369', '0806970707', '0373287283', '0345258150', '0375725520', '0312907699', '0517536064']",132.7
16080994,alben,5592308965526990445,141 Washington Ave Extension,Albany,"['1571454551', '0394845455', '0553275496', '1573245704', '0679735968', '0785812148', '0451207998', '0345352505', '0373225490', '0425180689', '4770028601', '8420610445', '0671516752', '0618219021', '0919946097', '0965413659', '0843942908', '0316690120', '2207252817', '0380976943', '0425173615', '0352336188', '0446392715', '0764553410', '2020309629', '0441545424', '0002254123']","['0967277671', '0399512330', '0205282601', '0060194448']",77.5
76467593,barytes,2682134624212086153,780 Lynnway,Lynn,"['0312321953', '000617695X', '352217352X', '075151666X', '067155834X', '0575056770', '0441545424', '0385316550', '0373834330', '3442552362', '0451523776', '1576731030', '0771025505', '0843942908', '0913374717', '0452262038', '0764223852', '0934986517', '0440204208', '0821774727', '3442092639', '0312135300', '0688160964', '1853260886', '8477272905', '0816513619', '0385293941', '042516358X']","['0670628301', '0060926945', '0892813407', '0812926714', '0781405262', '0782124690', '0399136665']",84.3
21700859,dichloride,-6997956309936528771,300 Colony Place,Plymouth,"['8440681186', '0878577475', '0316540234', '1576832880', '0590623842', '2211041221', '0375703861', '0821734725', '0061094560', '9722110195', '0937750018', '0671570552', '0888948204', '0689713452', '081181503X', '0395522463', '0060916834', '0373286597', '0140564551', '0963167324']","['0333906306', '0373220243', '0684843102']",80.6
