id,username,password,address,city,orders,favorites,balance
25227056,user,-8431602076339693759,1400 Farmington Avenue,Bristol,"['0399148582', '1563899388', '0316969443', '156341029X', '0674511255', '8477830029', '1551662744', '0380617625', '0140620664', '0439095026', '1573225126', '0590481371', '0385730586', '0684833395', '0440117291', '0451523415', '0061042943', '0060930187', '0380754851', '0553562819', '0671623249', '0440949424']","['0517201658', '1853262404', '0741403056', '0741402912', '0385336772', '0440224675', '0849943450']",232.6
64858808,proglottis,3676569276953635291,2041 Douglas Avenue,Brewton,"['3518111000', '0312278586', '0884111342', '0140250964', '193156146X', '1860198597', '0786913878', '0618173870', '0553210092']",['0553569058'],84.7
31063417,smoking,-8669696036212748130,3300 South Oates Street,Dothan,['0451527747'],"['0425142485', '0743201078', '0449911683', '039457513X']",92.4
37916816,mollusc,-792229441028217981,7155 State Rt 12 S,Lowville,"['1563899388', '1400077826', '1854795554', '0892967994', '0345433173', '0399137807', '0767905938', '0451406923', '0875421288', '015216250X', '0812923278', '0812575482', '0446527165', '0345391802', '0345354931', '0890877564', '0385730586', '0671021001', '0671779338', '0679733825', '0312986769', '0830714014', '0927545373', '044651747X', '0385327773', '0375823352', '0385333404', '8483002523', '0842336214', '0671042858', '0451527747']","['0060173289', '0849943728', '0747538069', '0345451260', '156971620X']",57.4
67438014,mountie,-675243266350017797,1007 Red Farmer Drive,Hueytown,"['0679801146', '0849943450', '1857938011', '0312206763', '0451523415', '0451195663', '1561561428', '0399148582', '193156146X', '0618173870', '0345451260', '0553225987', '0399143165', '0312252617', '0385479689', '0449911683', '0439319552', '0373245580']","['0812523873', '2070423204', '0866119531', '0786913878']",99.3
63069727,affix,4486558157645802886,2800 Spring Avn SW,Decatur,"['0894342789', '0394586239', '038549825X', '0451625889', '0380788497', '0374343381', '0590870157', '3473540420']","['0812575954', '156341029X', '0060621257', '039304016X', '039457513X', '0439095026']",112.1
87592095,gyve,-8084562908232642094,4133 Veterans Memorial Drive,Batavia,"['0747538069', '0590870157', '8483002523', '0451527038', '0345425294', '0062770500', '0786913878', '3257212429', '1561561428', '0972044205', '0380704587', '0385337132', '9681500555', '1401201172', '044651747X', '0842342702', '0874067391', '0060938455', '0805063897', '0517201658']","['0312953453', '0805062971', '3442446937']",101.7
54826367,draft,-945803950182539190,973 Gilbert Ferry Road Se,Attalla,"['0345425294', '0440224675', '2020315491', '0812541642', '0449211770', '0486284735', '0446531332', '0812521129', '0590481371', '0684868911', '039457513X', '0618173870', '8484509141', '0385505833', '0385336772', '0375823352', '0515134368', '0450029956', '1558744150', '0741403056', '1563899388', '0380732688', '0767905938', '0380815923', '0394800133', '0393048977', '8483002523', '0375705856', '0679801146', '3746670055', '0671525832', '0373836023', '0060621257', '0312148267', '1569471096', '0345403339', '1928791107', '0440122090']",['0373245580'],142.2
14676888,okay,-1271315667393372122,5033 Transit Road,Clarence,['0849943450'],"['0571197639', '0786015276', '0590598848', '0140250964', '044021145X']",103.9
33551948,vorster,6173558665596426631,7855 Moffett Rd,Semmes,"['1853260053', '0449911683', '0590021117', '0385511612', '0505524996', '0961769947', '0060930705', '0450029956', '0345424719']",[],126.4
87976077,duggan,-7526680541721115428,15445 Highway 24,Moulton,"['0553574167', '0380817144', '0312261594', '0449911004', '0451523318', '3257212054', '0061099686', '2070362388', '0345416848', '0486272664', '0060927240', '1569871213', '0440117291', '1551662744', '0741403471', '0553578693', '0345341201', '0152162577', '0060930705', '0060973897', '0743222229', '1853260673', '1573228737', '0316769487', '0064470113', '0945397410', '0060804157', '0449207544', '0446519138', '0380715899']","['0440234743', '1878424319', '0947782141']",133.7
88617292,tribal,-7701342950489393058,3018 East Ave,Central Square,"['0385505833', '0890877564']","['0380754851', '1573225126']",62.4
74999660,offwhite,-8695957401484025066,352 Palmer Road,Ware,['0440130913'],"['0385730586', '0374343381', '0399143165', '0060932759']",114.3
51204964,chantry,5878428230234862558,209 Lakeshore Parkway,Homewood,"['0440222303', '0375751513', '0375500766', '0671847546', '225300670X', '0060973129', '0380817144', '0312278586', '055358099X', '1573229148', '0684864320', '0743206045', '0804117934', '0425166619', '0061009059', '0385496907', '0061076031', '0743206053', '0061030147', '0425184129', '0972044205', '0684868911', '0449911683', '0380012863', '0590225170', '0671461494', '1842040154', '0349101779', '0345311396', '0156013967', '1551662744', '0446527165', '0439221730', '074345829X']","['0393030342', '0553210092']",70.5
